path_id,index,x,y,z
2,7,566.641,423.7428,178.0217
2,8,561.1796,431.3363,185.5391
2,9,558.752,439.6879,193.807
2,10,557.6267,448.1782,202.2123
2,11,555.4814,457.0004,210.0587
2,12,555.5408,465.0727,218.9376
2,13,556.0869,473.5918,227.3713
2,14,555.3139,485.3264,229.7591
2,15,555.6011,497.3226,229.8468
2,16,557.1591,509.2211,229.849
2,17,560.2322,520.8209,229.849
2,18,571.3284,525.3895,229.849
2,19,581.8697,519.6553,229.849
2,20,591.9789,513.1897,229.849
2,21,602.9191,517.4275,227.3284
2,22,614.6146,514.8421,226.5999
2,23,626.6132,514.659,226.5999
2,24,638.6019,514.1396,226.5999
2,25,647.661,506.2699,226.5999
2,26,644.531,494.6853,226.5999
2,27,634.7342,487.7555,226.5999
2,28,622.8902,489.6843,226.5999
2,29,611.0944,491.8885,226.6079
2,30,599.4371,491.22,229.3758
2,31,587.4585,490.6837,229.849
2,32,575.5919,488.8992,229.849
2,33,574.7766,476.9331,229.4642
2,34,573.6305,467.5117,222.121
2,35,572.6255,459.4071,213.3287
2,36,571.9486,450.8928,204.8997
2,37,574.3419,442.5362,196.6268
2,38,575.585,434.0542,188.2298
2,39,577.942,425.6924,179.9518
2,40,581.1298,417.7399,171.5497
2,41,592.2316,413.2252,170.9445
2,42,603.8078,410.0645,170.904
3,0,966.355,411.5651,258.1318
3,1,956.4988,418.4017,258.4734
3,2,945.331,414.0142,258.2983
3,3,936.0857,406.3641,258.2951
3,4,941.9136,395.8764,258.504
3,5,947.0454,385.029,258.5047
3,6,944.711,373.2583,258.4918
3,7,946.6778,365.2368,249.7862
3,8,943.7557,353.8429,247.4114
3,9,931.8396,354.9426,246.5186
3,10,925.3643,365.0455,246.4948
3,11,915.7993,366.4332,239.3825
3,12,905.1369,371.6605,237.6535
3,13,893.2526,373.2869,237.3123
3,14,881.2542,373.1325,237.1872
3,15,869.2813,372.3282,237.1322
3,16,857.3395,371.1486,237.1118
3,17,845.4398,369.5997,237.109
3,18,833.9131,369.0462,233.8185
3,19,824.6751,368.7743,226.1644
3,20,815.5605,366.8016,218.6124
3,21,806.3425,367.6365,210.9749
3,22,797.1493,368.8467,203.3578
3,23,785.8371,371.7124,200.561
3,24,780.7784,360.8318,200.4172
3,25,780.8318,348.8319,200.413
3,26,787.3889,338.782,200.3425
3,27,799.2748,340.4226,200.16
3,28,805.8602,330.5622,198.3147
3,29,810.218,322.118,190.9863
3,30,809.3368,310.2822,189.2152
3,31,821.0597,308.0802,187.9024
3,32,832.9509,309.633,187.4687
3,33,844.8241,311.362,187.2745
3,34,856.8,312.1147,187.1634
3,35,860.3388,300.6485,187.1094
3,36,852.4337,291.6203,187.1139
3,37,845.2616,281.9994,187.1307
3,38,839.296,271.5874,187.1651
