path_id,index,x,y,z
3,4,835.5468,-121.3946,305.1992
3,5,840.6786,-121.3953,294.3518
3,6,838.3442,-121.3824,282.5811
3,7,840.3111,-112.6768,274.5597
3,8,837.3890,-110.3020,263.1658
3,9,825.4729,-109.4092,264.2654
3,10,818.9976,-109.3854,274.3684
3,11,809.4326,-102.2731,275.7561
3,12,798.7702,-100.5441,280.9833
3,13,786.8858,-100.2029,282.6098
3,14,774.8875,-100.0778,282.4553
3,15,762.9146,-100.0228,281.6511
3,16,750.9727,-100.0024,280.4714
3,17,739.0731,-99.9996,278.9226
3,18,727.5463,-96.7091,278.3691
3,19,718.3083,-89.0550,278.0972
3,20,709.1937,-81.5031,276.1245
3,21,699.9757,-73.8655,276.9594
3,22,690.7825,-66.2484,278.1696
3,23,679.4703,-63.4516,281.0353
3,24,674.4116,-63.3078,270.1546
3,25,674.4650,-63.3036,258.1547
3,26,681.0221,-63.2331,248.1049
3,27,692.9080,-63.0506,249.7455
3,28,699.4934,-61.2053,239.8851
3,29,703.8512,-53.8769,231.4408
3,30,702.9700,-52.1058,219.6050
3,31,714.6929,-50.7930,217.4030
3,32,726.5842,-50.3593,218.9558
3,33,738.4574,-50.1651,220.6848
3,34,750.4332,-50.0540,221.4376
3,35,753.9720,-50.0000,209.9714
3,36,746.0669,-50.0045,200.9431
3,37,738.8948,-50.0214,191.3223
3,38,732.9293,-50.0557,180.9102
3,39,729.0413,-50.1139,169.5576
3,40,728.0813,-50.1913,157.5964
3,41,727.6437,-50.2385,145.6044
3,42,723.9020,-50.2025,134.2028
3,43,719.5163,-50.1108,123.0333
3,44,721.7688,-50.0224,111.2469
3,45,732.0452,-50.0012,105.0504
3,46,744.0333,-50.0000,104.5181
3,47,755.6135,-50.0000,107.6645
3,48,766.9926,-50.0000,111.4746
3,49,778.8093,-50.0003,113.5639
3,50,790.8086,-50.0215,113.4417
3,51,793.9548,-50.3122,125.0183
3,52,789.2167,-50.4675,136.0422
3,53,786.8549,-50.5332,147.8073
3,54,790.0228,-50.4476,159.3813
3,55,796.0507,-50.2683,169.7559
3,56,800.1840,-50.0780,181.0200
3,57,796.0506,-50.0049,192.2854
3,58,788.2238,-50.0000,201.3817
3,59,779.8224,-50.0000,209.9500
3,60,771.7678,-50.0000,218.8451
3,61,764.7550,-50.0000,228.5827
3,62,753.1315,-50.0000,231.5652
3,63,741.9897,-50.0000,227.1087
3,64,730.8242,-50.0003,222.7121
3,65,718.9807,-50.0999,220.7827
3,66,710.0574,-52.9517,228.2822
3,67,710.0983,-58.9197,238.6928
3,68,707.1385,-62.2738,249.8279
3,69,695.2209,-63.0987,248.6927
3,70,683.2227,-63.2763,248.8020
3,71,681.1318,-63.2485,260.6184
3,72,687.4560,-63.1523,270.8162
3,73,697.8309,-68.9884,272.3331
3,74,707.0713,-76.6445,272.3331
3,75,716.3116,-84.3006,272.3331
3,76,725.5365,-91.9754,272.3061
3,77,734.7168,-99.6759,271.6549
3,78,745.6805,-99.9755,276.5239
3,79,748.2318,-100.0000,264.7982
3,80,744.4506,-100.0000,253.4095
3,81,741.4062,-100.0000,241.8021
3,82,740.6916,-100.0000,229.8234
3,83,744.3174,-100.0000,218.3843
3,84,754.0459,-100.0000,211.3589
3,85,763.9746,-100.0000,218.0984
3,86,772.6640,-100.0000,226.3746
3,87,784.6563,-100.0000,225.9463
3,88,794.6253,-100.0000,219.2665
3,89,804.6302,-100.0000,212.6407
3,90,812.9446,-100.0000,221.2935
3,91,806.6123,-99.9999,231.4867
3,92,796.3142,-99.9932,237.6470
3,93,787.3117,-99.9472,245.5812
3,94,792.7569,-99.8805,256.2745
3,95,801.6077,-99.9727,264.3773
3,96,811.8736,-104.2366,268.8972
3,97,821.2377,-109.0424,263.1336
3,98,829.8076,-109.3381,254.7390
3,99,837.9330,-109.3876,245.9087
3,100,845.3795,-109.3893,236.4986
3,101,853.3582,-109.3893,227.5353
3,102,865.0726,-109.3893,224.9326
3,103,875.2973,-109.3893,231.2139
3,104,883.2893,-109.3893,240.1653
3,105,888.1966,-109.3893,251.1161
3,106,883.4281,-109.3976,262.1279
3,107,872.7173,-109.4653,267.5384
3,108,861.1486,-109.6889,270.7190
3,109,850.5413,-113.1524,275.1337
3,110,846.1064,-120.2432,283.7391
3,111,853.7386,-121.3879,292.9282
3,112,848.7038,-121.3953,303.8209
3,113,854.5419,-121.3552,314.3049
4,0,610.3743,-121.7825,335.0138
4,1,621.9022,-121.4328,331.6992
4,2,628.2986,-121.3953,321.5462
4,3,628.1768,-121.3953,309.5468
4,4,625.0887,-121.3953,297.9509
4,5,617.2660,-121.3953,288.8512
4,6,605.2706,-121.3953,288.5186
4,7,596.9140,-121.3953,297.1306
4,8,588.0665,-121.3953,305.2375
4,9,577.1783,-119.8133,300.4474
4,10,568.0693,-112.0684,301.4688
4,11,556.8222,-109.5822,298.1039
4,12,545.2453,-109.3893,294.9516
4,13,533.8034,-109.3893,298.5686
4,14,523.7977,-109.3893,305.1932
4,15,531.8710,-109.4176,314.0714
4,16,542.0536,-109.6350,320.4170
4,17,552.3273,-110.4102,326.5693
4,18,561.1136,-112.8065,334.3833
4,19,565.5664,-113.3069,345.5153
4,20,562.2734,-113.3069,357.0546
4,21,564.4044,-113.3069,368.8639
4,22,570.9390,-113.3069,378.9286
4,23,582.9243,-113.3069,379.5234
4,24,594.0869,-113.3069,375.1193
4,25,594.5421,-113.3737,363.1281
4,26,585.5019,-115.4933,355.5267
4,27,576.2732,-117.4942,348.1221
4,28,575.9870,-117.2170,336.1288
4,29,577.1956,-119.2467,324.3636
4,30,588.1631,-122.5059,327.9818
4,31,599.2566,-122.3042,332.5528
